country,broker_name,broker_type,fee_model,flat_fee_local_currency,pct_fee,min_fee_local_currency,max_fee_local_currency,fee_tax_rate_pct,other_charges_pct,effective_from,effective_to,source_url,confidence,selection_criterion,selection_basis_date
United States,Charles Schwab,discount,flat_per_trade,8.95,0.0,0.0,0.0,0.0,0.002,2011-01-01,2017-02-02,https://www.schwab.com,primary_statutory_single_source,Largest US retail discount broker by client assets (SEC registered),2024-01-01
United States,Charles Schwab,discount,flat_per_trade,4.95,0.0,0.0,0.0,0.0,0.002,2017-02-03,2019-10-06,https://www.schwab.com,primary_statutory_single_source,Pricing reduction before zero-commission (SEC registered),2024-01-01
United States,Charles Schwab,discount,flat_per_trade,0.0,0.0,0.0,0.0,0.0,0.002,2019-10-07,2025-12-31,https://www.schwab.com,primary_statutory_single_source,Zero-commission equity trading era (SEC registered),2024-01-01
United States,Morgan Stanley Wealth,full_service,pct_with_min_max,0.0,0.35,50.0,250.0,0.0,0.002,2011-01-01,2025-12-31,https://www.morganstanley.com,primary_statutory_single_source,Tier-1 US full service private wealth management (SEC / FINRA registered),2024-01-01
China,Huatai Securities,discount,pct_with_min_max,0.0,0.025,5.0,0.0,0.0,0.1,2011-01-01,2023-08-27,https://www.htsc.com.cn,primary_statutory_single_source,CSRC AA-rated firm; #1 in securities brokerage trading volume on SSE/SZSE; 0.1 pct stamp tax,2024-01-01
China,Huatai Securities,discount,pct_with_min_max,0.0,0.025,5.0,0.0,0.0,0.05,2023-08-28,2025-12-31,https://www.htsc.com.cn,primary_statutory_single_source,CSRC AA-rated firm; #1 in securities brokerage volume; 0.05 pct stamp tax per MOF Announcement 2023 No 39,2024-01-01
China,CITIC Securities,full_service,pct_with_min_max,0.0,0.08,5.0,0.0,0.0,0.05,2011-01-01,2025-12-31,https://www.citics.com,primary_statutory_single_source,CSRC AA-rated firm; #1 Chinese brokerage by total assets and trading revenue (CSRC Industry Statistics),2024-01-01
Germany,flatex,discount,flat_per_trade,5.9,0.0,0.0,0.0,0.0,0.0,2011-01-01,2019-04-30,https://www.flatex.de,primary_statutory_single_source,BaFin-regulated pioneer German retail discount broker with standard flat 5.90 EUR execution fee,2024-01-01
Germany,Trade Republic,discount,flat_per_trade,1.0,0.0,0.0,0.0,0.0,0.0,2019-05-01,2025-12-31,https://traderepublic.com,primary_statutory_single_source,BaFin-regulated digital neo-broker with flat 1 EUR execution fee launched May 2019,2024-01-01
Germany,Commerzbank,full_service,pct_with_min_max,0.0,0.25,9.9,59.9,0.0,0.0,2011-01-01,2025-12-31,https://www.commerzbank.de,primary_statutory_single_source,Major German full-service banking network under BaFin supervision,2024-01-01
Japan,SBI Securities,discount,flat_per_trade,99.0,0.0,0.0,0.0,10.0,0.0,2011-01-01,2023-09-30,https://www.sbisec.co.jp,primary_statutory_single_source,JFSA-registered #1 online brokerage by client accounts; standard 99 JPY schedule,2024-01-01
Japan,SBI Securities,discount,flat_per_trade,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-01,2025-12-31,https://www.sbisec.co.jp,primary_statutory_single_source,Zero-commission domestic equity trading initiative (JFSA registered),2024-01-01
Japan,Nomura Securities,full_service,pct_with_min_max,0.0,0.4,2750.0,0.0,10.0,0.0,2011-01-01,2025-12-31,https://www.nomura.co.jp,primary_statutory_single_source,Leading Japanese full-service securities house and wealth manager (JFSA registered),2024-01-01
India,Zerodha,discount,pct_with_min_max,0.0,0.03,0.0,20.0,18.0,0.1,2011-01-01,2025-12-31,https://zerodha.com,primary_statutory_single_source,SEBI-registered leading retail discount broker; 20 INR max or 0.03 pct + 18 pct GST + 0.1 pct STT,2024-01-01
India,ICICI Direct,full_service,pct_of_trade_value,0.0,0.35,0.0,0.0,18.0,0.1,2011-01-01,2025-12-31,https://www.icicidirect.com,primary_statutory_single_source,SEBI-registered major banking full-service brokerage platform,2024-01-01
United Kingdom,Interactive Investor,discount,flat_per_trade,5.99,0.0,0.0,0.0,20.0,0.5,2011-01-01,2025-12-31,https://www.ii.co.uk,primary_statutory_single_source,FCA-authorized #2 UK direct-to-consumer platform; flat 5.99 GBP fee + 0.5 pct SDRT on purchases,2024-01-01
United Kingdom,Hargreaves Lansdown,full_service,pct_with_min_max,0.0,0.45,11.95,0.0,20.0,0.5,2011-01-01,2025-12-31,https://www.hl.co.uk,primary_statutory_single_source,FCA-authorized #1 UK retail investment platform by AUA; 11.95 GBP standard fee + 0.5 pct SDRT,2024-01-01
France,BoursoBank,discount,flat_per_trade,1.99,0.0,0.0,0.0,0.0,0.0,2011-01-01,2012-07-31,https://www.boursobank.com,primary_statutory_single_source,ACPR/AMF Regulated (CIB 15589); #1 French online bank; Forfait Découverte 1.99 EUR; Pre-TTF era (0.0 pct),2024-01-01
France,BoursoBank,discount,flat_per_trade,1.99,0.0,0.0,0.0,0.0,0.2,2012-08-01,2016-12-31,https://www.boursobank.com,primary_statutory_single_source,ACPR/AMF Regulated (CIB 15589); Forfait Découverte 1.99 EUR; TTF 0.2 pct under CGI Art 235 ter ZD jo Loi 2012-354,2024-01-01
France,BoursoBank,discount,flat_per_trade,1.99,0.0,0.0,0.0,0.0,0.3,2017-01-01,2025-12-31,https://www.boursobank.com,primary_statutory_single_source,ACPR/AMF Regulated (CIB 15589); Forfait Découverte 1.99 EUR; TTF 0.3 pct under CGI Art 235 ter ZD jo Loi 2016-1917,2024-01-01
France,BNP Paribas,full_service,pct_with_min_max,0.0,0.5,5.0,0.0,0.0,0.0,2011-01-01,2012-07-31,https://mabanque.bnpparibas,primary_statutory_single_source,ACPR/AMF Regulated; Offre Start 5 EUR min (for orders <= 1000 EUR) then 0.50 pct; Pre-TTF era (0.0 pct),2024-01-01
France,BNP Paribas,full_service,pct_with_min_max,0.0,0.5,5.0,0.0,0.0,0.2,2012-08-01,2016-12-31,https://mabanque.bnpparibas,primary_statutory_single_source,ACPR/AMF Regulated; Offre Start 5 EUR min then 0.50 pct; TTF 0.2 pct under CGI Art 235 ter ZD jo Loi 2012-354,2024-01-01
France,BNP Paribas,full_service,pct_with_min_max,0.0,0.5,5.0,0.0,0.0,0.3,2017-01-01,2025-12-31,https://mabanque.bnpparibas,primary_statutory_single_source,ACPR/AMF Regulated; Offre Start 5 EUR min then 0.50 pct; TTF 0.3 pct under CGI Art 235 ter ZD jo Loi 2016-1917,2024-01-01
Italy,Directa SIM,discount,flat_per_trade,5.0,0.0,0.0,0.0,0.0,0.0,2011-01-01,2013-02-28,https://www.directa.it,primary_statutory_single_source,CONSOB Delibera n. 11760; pioneer online retail discount broker on Borsa Italiana; Profilo Semplice 5 EUR flat fee; Pre-Tobin era (0.0 pct),2024-01-01
Italy,Directa SIM,discount,flat_per_trade,5.0,0.0,0.0,0.0,0.0,0.12,2013-03-01,2013-12-31,https://www.directa.it,primary_statutory_single_source,CONSOB Delibera n. 11760; Profilo Semplice 5 EUR fee; 0.12 pct Tobin Tax on regulated market per Legge 228/2012 Art 1 c 491,2024-01-01
Italy,Directa SIM,discount,flat_per_trade,5.0,0.0,0.0,0.0,0.0,0.1,2014-01-01,2025-12-31,https://www.directa.it,primary_statutory_single_source,CONSOB Delibera n. 11760; Profilo Semplice 5 EUR fee; 0.10 pct Tobin Tax on regulated market per Legge 228/2012 Art 1 c 491,2024-01-01
Italy,Intesa Sanpaolo,full_service,pct_with_min_max,0.0,0.24,3.5,0.0,0.0,0.0,2011-01-01,2013-02-28,https://www.intesasanpaolo.com,primary_statutory_single_source,CONSOB / Bank of Italy; largest Italian banking group; Foglio Informativo Deposito Titoli 0.24 pct (min 3.50 EUR online; branch is 0.35 pct min 12 EUR); Pre-Tobin era (0.0 pct),2024-01-01
Italy,Intesa Sanpaolo,full_service,pct_with_min_max,0.0,0.24,3.5,0.0,0.0,0.12,2013-03-01,2013-12-31,https://www.intesasanpaolo.com,primary_statutory_single_source,CONSOB / Bank of Italy; 0.24 pct (min 3.50 EUR); 0.12 pct Tobin Tax on regulated market per Legge 228/2012 Art 1 c 491,2024-01-01
Italy,Intesa Sanpaolo,full_service,pct_with_min_max,0.0,0.24,3.5,0.0,0.0,0.1,2014-01-01,2025-12-31,https://www.intesasanpaolo.com,primary_statutory_single_source,CONSOB / Bank of Italy; 0.24 pct (min 3.50 EUR); 0.10 pct Tobin Tax on regulated market per Legge 228/2012 Art 1 c 491,2024-01-01
Brazil,Clear Corretora,discount,flat_per_trade,7.5,0.0,0.0,0.0,0.0,0.03,2011-01-01,2017-12-31,https://www.clear.com.br,primary_statutory_single_source,CVM Regulated; pioneer discount trading platform; Pre-2018 standard 7.50 BRL flat fee + 0.03 pct B3 exchange fees,2024-01-01
Brazil,Clear Corretora,discount,flat_per_trade,0.8,0.0,0.0,0.0,0.0,0.03,2018-01-01,2018-09-25,https://www.infomoney.com.br,single_source,CVM Regulated; single secondary source snapshot (InfoMoney 20 Aug 2018) confirms 0.80 BRL rate prior to zero-brokerage; exact start date approximate (early 2018) + 0.03 pct B3 fees,2024-01-01
Brazil,Clear Corretora,discount,flat_per_trade,0.0,0.0,0.0,0.0,0.0,0.03,2018-09-26,2025-12-31,https://www.clear.com.br,primary_statutory_single_source,CVM Regulated; Corretagem Zero policy officially launched 26 Sept 2018 across all equities + 0.03 pct B3 fees,2024-01-01
Brazil,XP Investimentos,full_service,pct_with_min_max,0.0,0.5,25.21,0.0,0.0,0.03,2011-01-01,2025-12-31,https://www.xpi.com.br,primary_statutory_single_source,CVM Regulated; largest Brazilian retail wealth manager; Tabela Bovespa Mesa de Operacoes 0.50 pct with 25.21 BRL min fee + 0.03 pct B3 fees,2024-01-01
Canada,Questrade,discount,flat_per_trade,4.95,0.0,0.0,0.0,0.0,0.0,2011-01-01,2025-12-31,https://www.questrade.com,primary_statutory_single_source,CIRO / CIPF Regulated (CIRO Dealer Member); Canada's largest independent online brokerage; 1 cent per share with 4.95 CAD minimum,2024-01-01
